0;5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80
0.0167;0.0008;0.0007;0.0016;0.0026;0.0032;0.0039;0.0052;0.0069;0.0097;0.013;0.0184;0.0261;0.0363;0.0589;0.0876;0.1573
0.0158;0.0007;0.0007;0.0016;0.0026;0.0031;0.0039;0.0049;0.0066;0.0094;0.013;0.0184;0.0253;0.0354;0.0577;0.0843;0.1573
0.0147;0.0007;0.0007;0.0015;0.0025;0.003;0.0038;0.0049;0.0064;0.0092;0.0129;0.0183;0.0247;0.0344;0.0559;0.0833;0.1498
0.014;0.0007;0.0007;0.0015;0.0026;0.0033;0.0039;0.005;0.0066;0.0095;0.0132;0.0189;0.0253;0.0351;0.0576;0.087;0.1528
0.0141;0.0007;0.0006;0.0016;0.0028;0.0034;0.0041;0.0051;0.0066;0.0099;0.0133;0.0192;0.0257;0.0353;0.0584;0.0878;0.1585
0.0117;0.0007;0.0007;0.0016;0.0028;0.0033;0.004;0.0051;0.0063;0.0096;0.0129;0.0189;0.0255;0.0344;0.0581;0.0845;0.1492
0.0117;0.0007;0.0007;0.0018;0.003;0.0034;0.0042;0.0053;0.0065;0.0096;0.0129;0.019;0.0253;0.0336;0.056;0.082;0.1465
0.0107;0.0006;0.0006;0.0017;0.0029;0.0033;0.0041;0.005;0.0063;0.0092;0.0124;0.0183;0.0248;0.0327;0.0529;0.0783;0.1436
0.0103;0.0006;0.0006;0.0017;0.0028;0.0034;0.0041;0.005;0.0063;0.0093;0.0126;0.0187;0.0253;0.0343;0.0549;0.0809;0.1511
0.009;0.0006;0.0006;0.0019;0.0031;0.0035;0.0043;0.0051;0.0063;0.0089;0.0125;0.0177;0.0245;0.0332;0.0518;0.0764;0.1397
0.0082;0.0005;0.0006;0.0018;0.0029;0.0034;0.004;0.0048;0.0061;0.0086;0.0121;0.0171;0.0238;0.0331;0.051;0.0761;0.1403
0.0073;0.0005;0.0005;0.0017;0.0028;0.0033;0.004;0.0049;0.0061;0.0082;0.0116;0.0166;0.023;0.0324;0.0487;0.0722;0.1326
0.0073;0.0005;0.0005;0.0016;0.0027;0.0033;0.0038;0.0048;0.0061;0.0082;0.0115;0.0166;0.0232;0.0334;0.0485;0.0715;0.1307
0.0075;0.0005;0.0006;0.0016;0.0027;0.0033;0.004;0.0049;0.0061;0.0083;0.0114;0.0168;0.0235;0.0344;0.0497;0.074;0.1352
0.0073;0.0005;0.0006;0.0017;0.0028;0.0034;0.0041;0.0048;0.0061;0.008;0.0109;0.0163;0.0225;0.0334;0.0483;0.07;0.1282
0.0067;0.0004;0.0006;0.0018;0.0028;0.0035;0.0041;0.0049;0.006;0.008;0.0105;0.0158;0.0216;0.0328;0.0466;0.0656;0.1214
0.0062;0.0004;0.0006;0.0017;0.0027;0.0034;0.0041;0.0048;0.006;0.0079;0.0102;0.0155;0.0216;0.0329;0.0466;0.0652;0.1209
0.0058;0.0004;0.0005;0.0018;0.0028;0.0033;0.0039;0.0045;0.0058;0.0076;0.0101;0.015;0.0209;0.0317;0.0454;0.0634;0.1165
0.0059;0.0004;0.0005;0.0017;0.0027;0.0032;0.0037;0.0043;0.0056;0.0076;0.0102;0.0151;0.021;0.0315;0.0457;0.0647;0.1181
0.0057;0.0004;0.0005;0.0017;0.0027;0.0031;0.0035;0.0042;0.0055;0.0074;0.0101;0.0149;0.0209;0.0306;0.0451;0.064;0.1156
0.0055;0.0004;0.0004;0.0017;0.0028;0.003;0.0034;0.0041;0.0054;0.0073;0.01;0.0145;0.0206;0.03;0.0436;0.0639;0.1132
0.0051;0.0004;0.0005;0.0017;0.0027;0.003;0.0034;0.004;0.0053;0.0073;0.0099;0.0139;0.0199;0.0292;0.0435;0.0632;0.1129
0.0049;0.0004;0.0004;0.0018;0.0029;0.003;0.0032;0.004;0.0052;0.0071;0.0096;0.0136;0.019;0.0287;0.042;0.0633;0.112
0.0049;0.0004;0.0004;0.0017;0.0029;0.0029;0.0031;0.0038;0.0051;0.007;0.0094;0.0133;0.0188;0.0282;0.0415;0.0636;0.1125
0.0046;0.0004;0.0004;0.0017;0.0028;0.0028;0.003;0.0038;0.005;0.0069;0.0095;0.0132;0.0184;0.0281;0.0407;0.0635;0.112
0.0044;0.0003;0.0004;0.0017;0.0026;0.0027;0.0028;0.0036;0.0047;0.0066;0.0091;0.0126;0.017;0.027;0.0382;0.0602;0.1059
0.0042;0.0004;0.0004;0.0017;0.0026;0.0027;0.0028;0.0035;0.0047;0.0064;0.009;0.0125;0.0168;0.0266;0.0379;0.0604;0.1071
0.0041;0.0003;0.0004;0.0017;0.0026;0.0027;0.0028;0.0034;0.0046;0.0063;0.0089;0.0124;0.0168;0.0259;0.0373;0.059;0.1074
0.004;0.0003;0.0004;0.0017;0.0027;0.0028;0.0028;0.0034;0.0046;0.0063;0.0089;0.0123;0.017;0.0259;0.0373;0.0585;0.1082
0.0039;0.0003;0.0004;0.0017;0.0027;0.0028;0.0029;0.0034;0.0045;0.0061;0.0088;0.0123;0.0168;0.0254;0.0376;0.0576;0.1086
0.0037;0.0003;0.0004;0.0017;0.0026;0.0027;0.0029;0.0033;0.0043;0.006;0.0087;0.0122;0.017;0.025;0.0377;0.0572;0.1106
